PS CODE,PS TITLE,DOMAIN,PROBLEM STATEMENTS,,,,,
#G001,App for online OPD appointment & Hospital Information System,MOBILE APP DEVELOPMENT,"An Google/iOS application has to be developed for booking an online appointment for Out patient consultation at hospital The app should be having a feature to be integrated with existing Integrated Hospital Management System and many more.
",,,,,
#G002,Mobile Application That Keeps Medical Report/History Of Students,MOBILE APP DEVELOPMENT,"1.Medical History storage of each girl students 2. on regular time interval medical checkup report should send to parents, family doctors and hostel head 3.real time notification should send to parents, family doctors and hostel head 4. according to age medical report notification should be sent. 5. health monitoring system of girl students based on her medical history and send report to parents, doctors and hostel head. Health is major issue now days in college students. Specially in girls who are living far from home in hostels/PGs for their study. They often doesn’t take healthy food. Therefore so many health issue occurs during their study. Parents are no aware of it. So a mobile application should be developed such manner that on regular time interval medical chekup report should send to parents, family doctors and hostel head. all College students and their Parents, family Doctors, school students and thier parents, hostel students, girl students, any other human that wants their health up to date, working peoples, senior citizens health monitoring system of girl students and send report to parents, doctors and hostel head. a mobile application should be developed such manner that on regular time interval medical checkup report should send to parents, family doctors and hostel head.all College students and their Parents, family Doctors, school students and thier parents, hostel students, girl students, any other human that wants their health up to date can use this. Medical history is stored so future medical emergency time we can predict her health and can give solution according to it. health problem solved easily. on regular time basis medical checkup report goes to parents, family doctors and hostel head so health monitoring is possible. no much worry for girl student parents is there. All College students and their Parents, family Doctors, school students and thier parents, hostel students, girl students, any other human that wants their health up to date can use this.",,,,,
#G003,AI based crop identification mobile app,MOBILE APP DEVELOPMENT,Develop a mobile application that can identify crop using only field photo of a crop. The team must target at-least 10 different crops for demonstration. The application will allow the user to take photos and automatically identify the crop. The photo and crop information along with geolocation information should be stored in an internal database which can be exported/emailed.,,,,,
#G004,Mobile app for awareness to tribes about forest rights act and procedure to process their claims,MOBILE APP DEVELOPMENT,Mobile app for awareness to tribes about forest rights act and procedure to process their claims,,,,A Mobile based Inventory Management System using QR code application,
#G005,Innovative apps for women safety specially in cyber space,MOBILE APP DEVELOPMENT,Innovative apps for women safety specially in cyber space. Design innovative methods to prevent blackmailing and frauds against women specific cases. Enable to detect if a woman's profile is being used somewhere without her consent.,,,,,
#G006,Mobile Apps for Citizens and Police for management of crime records,MOBILE APP DEVELOPMENT,"Mobile Apps for Citizens and Police for management of crime records, beats, resource allocation, form fillings, request for NOC, appointments etc",,,,,
#G007,To develop an app and SMS based application which can register the grey market complaint,MOBILE APP DEVELOPMENT,To develop an app and SMS based application which can register the grey market complaint,,,,,
#G008,Non network intensive record keeping system for SHG,MOBILE APP DEVELOPMENT,"Under DAY-NRLM program, financial assistance is provided to SHGs (Self help groups) to help mobilize them, become self creating efficient and effective institutional platforms of the rural poor enabling them to increase household income through sustainable livelihood enhancements and improved access to financial services. A lot of transactional related activities and data entry, reporting, monitoring and tracking is being performed for over 5 crore SHG members (women) over 50 Lakh SHG groups. Low network connectivity is a challenge for doing the data entry for various SHGs transaction at the village level. A solution is required which is able to help perform the record keeping, data entries, transactions capture at ground level itself (preferably real time) with less challenges and data gaps, for the scheme even when there is low network connectivity.",,,,,
#G009,Stray Cattle Challenge,MOBILE APP DEVELOPMENT,"Checking the menace of stray cattle in State of Goa by involving Municipalities, Panchayats, Animal Husbandry, NGO and Civic Forum. Stray Cattle not only bad to traffic congestion but also causes health hazard to the cattle. ISSUES (a) Fundamentally there is disconnection between civil agencies, people and elected representatives. (b) The aim is to build mobile based dynamic reporting system which will facilitate into flow of information among all concerned stakeholders. (c) The aim is to provide better Governance by more involvement of public.",,,,,
#G010,Air/Water turbidity estimation mobile app,MOBILE APP DEVELOPMENT,"App based portrait building software from the photos of the criminals available with us. - Extracting representative features of eyes, eye brow, forehead, nose, ears, beard, hair styles etc in various classes - Extracting broad features of a face - Projecting these attributes for choosing close representatives of suspects/ criminals - Integration and polishing to get close representation of real suspects/ criminals.",,,,,
#G011,Rating an Airport Mapping Database,WEB APPLICATION,"An Airport Mapping Database (AMDB) is a Geographic Information System (GIS) database of an airport describing the spatial layout of the aerodrome in terms of features (e.g. runways, taxiways, and parking stands) with geometry described as points, lines or polygons and with attributes (e.g. Surface type). AMDB is intended primarily to improve the user’s situational awareness and/or to supplement surface navigation, thereby increasing safety margins and operational efficiency. AMDB represents a collection of aerodrome information that is organized and arranged for ease of electronic storage and retrieval in systems that support aerodrome surface movements, training, charting, and planning. Project intents to Create Aerodrome Maps and Charts using feature extraction from Satellite Imagery and blending that with existing Aerodrome Maps and provide an interactive 2D map containing a spatial layout of the aerodrome in terms of features (e.g. runways, taxiways, parking stands) with geometry described as points, lines or polygons, and with attributes (e.g. surface type). The aerodrome map, charts and data is available in Aeronautical Information Publication (AIP India) uploaded on website https://aim-india.aai.aero/eaip-v2-01-2019/index-en-GB.html",,,,,
#G012,Knowledge Management System through Block Chain,WEB APPLICATION,"A web based application using Block chain technology is sought from Airport Licensing to retrieve important and relevant Project Related information from pool of data source i.e. SAP, E-mail, E-office, Scan documents and Database. Below features are desired in an application: a.) Concerned Officers can upload relevant data related to Airport Licensing from Airports. b.) Seamless Approval process, Centralized Monitoring and Suggestion Mechanism. c.) Relevant information should be fetched from data source, linked to a particular project which can be used in the hour of need.",,,,,
#G013,Sentiment Analysis of Code-Mixed Languages,WEB APPLICATION,"In the current scenario, Most of the social media platforms can be seen with the proliferation in usage of code-mixed text. Code-mixed data is an important challenge of natural language processing, as its characteristics widely vary from the traditional structures of standard languages. In such scenario, context aware sentiment analysis of the social media data becomes a great challenge. Here comes a need for standard solution which can take the feed of Social Media Data that has code-mixed language statements, Handle multiple code-mixed Indian languages and perform context aware Sentiment Analysis further. Sentiment analysis should give results such as “Positive”, “Negative “and “Neutral” for the code mixed languages such as English, Hindi, Kannada ,Bengali, Urdu etc.Please see the attachment for sample data: #G013.pdf ",,,,,
